Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Days,Month,Year,Use IF Statement,Left(4 Char),Mid,Right,Change  Date Format,TRIm,Concat,Change Date Format1,SUM,SUMIF,SUMIFS,COUNT,Countif,Countifs
1,11/24/2023,CUST001,Male,34,Beauty,3,50,150,24,11,2023,1,Beau,eauty,auty,24/11/2023,Beauty,50150,24-11-2023,456000,363600,160025,1000,199,171
2,2/27/2023,CUST002,Female,26,Clothing,2,500,1000,27,2,2023,0,Clot,lothi,hing,27/02/2023,Clothing,5001000,27-02-2023,,,,,,
3,1/13/2023,CUST003,Male,50,Electronics,1,30,30,13,1,2023,0,Elec,lectr,nics,13/01/2023,Electronics,3030,13-01-2023,,,,,,
4,5/21/2023,CUST004,Male,37,Clothing,1,500,500,21,5,2023,0,Clot,lothi,hing,21/05/2023,Clothing,500500,21-05-2023,,,,,,
5,5/6/2023,CUST005,Male,30,Beauty,2,50,100,6,5,2023,1,Beau,eauty,auty,06/05/2023,Beauty,50100,06-05-2023,,,,,,
6,4/25/2023,CUST006,Female,45,Beauty,1,30,30,25,4,2023,1,Beau,eauty,auty,25/04/2023,Beauty,3030,25-04-2023,,,,,,
7,3/13/2023,CUST007,Male,46,Clothing,2,25,50,13,3,2023,0,Clot,lothi,hing,13/03/2023,Clothing,2550,13-03-2023,,,,,,
8,2/22/2023,CUST008,Male,30,Electronics,4,25,100,22,2,2023,0,Elec,lectr,nics,22/02/2023,Electronics,25100,22-02-2023,,,,,,
9,12/13/2023,CUST009,Male,63,Electronics,2,300,600,13,12,2023,0,Elec,lectr,nics,13/12/2023,Electronics,300600,13-12-2023,,,,,,
10,10/7/2023,CUST010,Female,52,Clothing,4,50,200,7,10,2023,0,Clot,lothi,hing,07/10/2023,Clothing,50200,07-10-2023,,,,,,
11,2/14/2023,CUST011,Male,23,Clothing,2,50,100,14,2,2023,0,Clot,lothi,hing,14/02/2023,Clothing,50100,14-02-2023,,,,,,
12,10/30/2023,CUST012,Male,35,Beauty,3,25,75,30,10,2023,1,Beau,eauty,auty,30/10/2023,Beauty,2575,30-10-2023,,,,,,
13,8/5/2023,CUST013,Male,22,Electronics,3,500,1500,5,8,2023,0,Elec,lectr,nics,05/08/2023,Electronics,5001500,05-08-2023,,,,,,
14,1/17/2023,CUST014,Male,64,Clothing,4,30,120,17,1,2023,0,Clot,lothi,hing,17/01/2023,Clothing,30120,17-01-2023,,,,,,
15,1/16/2023,CUST015,Female,42,Electronics,4,500,2000,16,1,2023,0,Elec,lectr,nics,16/01/2023,Electronics,5002000,16-01-2023,,,,,,
16,2/17/2023,CUST016,Male,19,Clothing,3,500,1500,17,2,2023,0,Clot,lothi,hing,17/02/2023,Clothing,5001500,17-02-2023,,,,,,
17,4/22/2023,CUST017,Female,27,Clothing,4,25,100,22,4,2023,0,Clot,lothi,hing,22/04/2023,Clothing,25100,22-04-2023,,,,,,
18,4/30/2023,CUST018,Female,47,Electronics,2,25,50,30,4,2023,0,Elec,lectr,nics,30/04/2023,Electronics,2550,30-04-2023,,,,,,
19,9/16/2023,CUST019,Female,62,Clothing,2,25,50,16,9,2023,0,Clot,lothi,hing,16/09/2023,Clothing,2550,16-09-2023,,,,,,
20,11/5/2023,CUST020,Male,22,Clothing,3,300,900,5,11,2023,0,Clot,lothi,hing,05/11/2023,Clothing,300900,05-11-2023,,,,,,
21,1/14/2023,CUST021,Female,50,Beauty,1,500,500,14,1,2023,1,Beau,eauty,auty,14/01/2023,Beauty,500500,14-01-2023,,,,,,
22,10/15/2023,CUST022,Male,18,Clothing,2,50,100,15,10,2023,0,Clot,lothi,hing,15/10/2023,Clothing,50100,15-10-2023,,,,,,
23,4/12/2023,CUST023,Female,35,Clothing,4,30,120,12,4,2023,0,Clot,lothi,hing,12/04/2023,Clothing,30120,12-04-2023,,,,,,
